_CATEGORY_ID_,_ID_,_NAME_,_MAIN_CATEGORY_
Классические Гитары,,FLIGHT C-110A N 4/4  - классическая гитара 4/4,
Классические Гитары,,,
Классические Гитары,,Классическая гитара 4/4 PEREZ 640 / Spruce,
Классические Гитары,,Классическая гитара 4/4 PEREZ 630 / Flamenco,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,Классическая гитара 4/4 PEREZ 610 / Spruce,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,,
Классические Гитары,,Классическая гитара со звукоснимателем IBANEZ GA6CE-AM,
Классические Гитары,,"HOHNER HC-26 классическая гитара 4/4, верхняя дека: массив ситхинской ели",
Классические Гитары,,Классическая гитара 4/4 FLIGHT AC-200 / NA,
Классические Гитары,,Классическая гитара 4/4 FLIGHT C-250 / NA,
Классические Гитары,,FLIGHT C-120 NA 4/4 - Классическая гитара 4/4,
Классические Гитары,,Классическая гитара со звукоснимателем HOHNER HC06 / E,
Классические Гитары,,"FLIGHT C-110A N 4/4  - классическая гитара 4/4, верхн. дека-ель, корпус-агатис, цвет натурал",
Классические Гитары,,HOHNER HC06 - Классическая гитара,
Классические Гитары,,Классическая гитара 4/4 EPIPHONE PRO-1 Classic,
Классические Гитары,,Классическая гитара со звукоснимателем CRUZER SCC-24EQ / NT,
Классические Гитары,,Классическая гитара 4/4 CRUZER SC-24 / NT,
Классические Гитары,,Классическая гитара 4/4 FENDER ESC105 / NATURAL,
